Mon:1,Mon:2,Mon:3,Mon:4,Mon:5,Mon:6,Mon:7,Tue:1,Tue:2,Tue:3,Tue:4,Tue:5,Tue:6,Tue:7,Wed:1,Wed:2,Wed:3,Wed:4,Wed:5,Wed:6,Wed:7,Thu:1,Thu:2,Thu:3,Thu:4,Thu:5,Thu:6,Thu:7,Fri:1,Fri:2,Fri:3,Fri:4,Fri:5,Fri:6,Fri:7
7NU/En $MCA $CFO (#F102),7NU/Ma $MCA $GTO (#F203),7NU/Sc $RBI $LTE (#F109),,7NU/Ar $JBR $DSU (#T214),7NU/Re $VAD $DSU (#J207),,7NU/Ma $MCA $GTO (#F203),7NU/Lr $MCA $DSU (#F203),7NU/Sc $MCA $LTE (#F110),7NU/Cp $DSK $DSU (#F101),,,,7NU/En $RBI $CFO (#F102),7NU/Hi $MMO $DSU (#T028),7NU/Lr $MCA $DEV (#F203),7NU/Sc $MCA $LTE (#F203),,7NU/Ma $GTO (#F203),7NU/Ge $MMO $DSU (#T028),7NU/Ge $MMO $DSU (#T028),7NU/Ac $SEL $DSU (#N101),7NU/En $RBI $ADI (#J105),7NU/Ma $MCA $GTO (#F203),,7NU/Hi $MMO $DSU (#T028),7NU/Re $VAD $MCA (#F203),7NU/Te $JBR $DSU (#T027),7NU/En $RBI $CFO (#F203),7lu/Mu1 $CMA (#T120),7NU/Re $VAD $MCA (#J207),,7NU/Lr $MCA $DEV (#F203),7NU/Sc $DSU $LTE (#F109)
8c/Pe1 $DHA (#T010),8c/Pe1 $DHA (#T010),8cr/Ma1 $MMA (#J213),8cuBLANK,8cr/Sc1 $NWI (#F218),8C/Re $JUP (#J217),8cuBLANK,8cr/En1 $CFO (#F102),8cr/Ma1 $MMA (#J213),8cr/Sc1 $NWI (#F218),8cr/Fr1 $JLU (#T114),8cuBLANK,8C/Ac $AHR (#T118),8C/Hi $APA (#F013),8cr/Ma1 $MMA (#J213),8C/Mu $CMA (#T120),8C/Cp $DSK (#F101),8cr/Fr1 $JLU (#T114),8cuBLANK,8C/Ar $JBR $KPA (#T214),8cr/En1 $CFO (#F102),8c/Te1 $BST (#T005),8C/Re $JUP (#J217),8cr/Sc1 $NWI (#F104),8cr/En1 $CFO (#F102),8cuBLANK,8C/Ge $MFI (#T029),8C/Dr $COS (#T115),8cr/Sc1 $NWI (#T029),8C/Ge $MFI (#T029),8cr/En1 $CFO (#F102),8cr/Ma1 $MMA (#J213),8cuBLANK,8C/Re $JUP (#J217),8C/Hi $APA (#F013)
8c/Pe2 $SRE (#T010),8c/Pe2 $SRE (#T010),8cr/Ma2 $MYO (#J211),,8cr/Sc2 $MSZ (#F221),8A/Re $DMA (#J201),,8cr/En2 $AGA (#F103),8cr/Ma2 $MYO (#J211),8cr/Sc2 $MSZ (#F221),8cr/Sp1 $SBO (#F017),,8A/Re $DMA (#J201),8A/Mu $CMA (#T120),8cr/Ma2 $MYO (#J211),8A/Re $DMA (#J201),8A/Ar $CBR (#T213),8cr/Sp1 $SBO (#F017),,8A/Ge $SCL (#T031),8cr/En2 $AGA (#F103),8c/Te2 $JBR $VRE (#T027),8A/Ac $DEV (#T118),8cr/Sc2 $MSZ (#F221),8cr/En2 $AGA (#F103),,8A/Hi $APA (#F013),8A/Cp $GBR (#F019),8cr/Sc2 $MSZ (#F013),8A/Ge $SCL (#T031),8cr/En2 $AGA (#F103),8cr/Ma2 $MYO (#J211),,8A/Hi $APA (#F013),8A/Dr $COS (#T115)
8c/Pe3 $DGR (#T008),8c/Pe3 $DGR (#T008),8cr/Ma3 $LBU (#J214),,8cr/Sc3 $MHO (#F216),,,8cr/En3 $ADI (#J105),8cr/Ma3 $LBU (#J214),8cr/Sc3 $MHO (#F216),8cr/Fr2 $PLA (#F016),,,,8cr/Ma3 $LBU (#J214),,,8cr/Fr2 $PLA (#F016),,,8cr/En3 $ADI (#J105),8c/Te3 $CBR (#T213),,8cr/Sc3 $MHO (#F103),8cr/En3 $ADI (#J105),,,,8cr/Sc3 $MHO (#F221),,8cr/En3 $ADI (#J105),8cr/Ma3 $LBU (#J214),,,
8R/Hi $APA (#F013),8R/Re $JUP (#J217),8cr/Ma4 $JAD (#J212),,8cr/Sc4 $EPA (#F217),8R/Cp $DSK (#F101),,8cr/En4 $DEV (#F104),8cr/Ma4 $JAD (#J212),8cr/Sc4 $EPA (#F217),8cr/Fr3 $SDY $GMC (#T028),,8R/Re $JUP (#J217),8r/Te1 $CBR (#T213),8cr/Ma4 $JAD (#J212),8R/Hi $APA (#F013),8R/Ge $MMO (#T028),8cr/Fr3 $SDY $GMC (#F019),,8R/Dr $COS (#T115),8cr/En4 $DEV (#F104),8R/Re $JUP (#J217),8R/Ar $CBR (#T213),8cr/Sc4 $EPA $VRE (#F217),8cr/En4 $DEV (#F104),,8r/Pe1 $NMC (#T008),8r/Pe1 $NMC (#T008),8cr/Sc4 $EPA (#F217),8R/Mu $CMA (#T120),8cr/En4 $DEV (#J107),8cr/Ma4 $JAD (#J212),,8R/Ge $MMO (#T028),8R/Ac $SEL (#N101)
8P/Re $CBE (#T126),8P/Cp $GBR (#F019),,,,8P/Hi $ARI (#F013),,,,,,,8P/Hi $ARI (#F013),8r/Te2 $JBR (#T027),,8P/Re $CBE (#T126),8P/Ge $SCL (#T031),,,8P/Ar $CBR (#T213),,8P/Mu $CMA (#T120),8P/Re $CBE (#T126),,,,8r/Pe2 $DGR (#T010),8r/Pe2 $DGR (#T010),,8P/Dr $COS (#J005),,,,8P/Ac $JWA (#F101),8P/Ge $SCL (#T031)
,,,,,,,,,,,,,8r/Te3 $BST (#T005),,,,,,,,,,,,,8r/Pe3 $SRE (#T010),8r/Pe3 $SRE (#T010),,,,,,,
8N/Hi $KBR (#F014),8d/Fr1 $SDY $GMC (#F017),8N/Re $JTA (#J202),,8d/En1 $LTA (#F104),8d/Ma1 $EFR (#J224),,8d/Ma1 $EFR (#J224),8N/Ac $DEV (#T118),8N/Ge $MMO (#T028),8d/Te1 $CBR (#T213),,8d/Sc1 $EPA (#F217),8N/Cp $DSK (#F101),8d/Fr1 $SDY $GMC $DSU (#F014),8d/En1 $LTA (#F104),8du/Pe1 $NMC (#T010),8du/Pe1 $NMC (#T010),,8N/Mu $CMA (#T120),8d/Sc1 $EPA (#F217),8d/Ma1 $EFR (#J224),8d/Sc1 $EPA (#F217),8N/Ar $JBR (#T214),8N/Ge $MMO (#T028),,8d/En1 $LTA (#F104),8N/Re $JTA (#J202),8N/Dr $COS (#J005),8d/Sc1 $EPA (#F217),8d/En1 $LTA (#F104),8N/Re $JTA (#J202),,8d/Ma1 $EFR (#J224),8N/Hi $KBR $VRE (#F015)
8D/Re $VRE $JUP (#J217),8d/Sp1 $JLU (#T114),8D/Ge $SCL $DSU (#T031),,8d/En2 $ADI (#J105),8d/Ma2 $MYO (#J211),,8d/Ma2 $MYO (#J211),8D/Mu $CMA (#T120),8D/Hi $KBR $VRE $DSU (#F014),8d/Te2 $JBR (#T027),,8d/Sc2 $LTE (#F221),8D/Re $VRE $DSU $JUP (#J217),8d/Sp1 $JLU (#T114),8d/En2 $KOC (#F102),8du/Pe2 $DHA (#T008),8du/Pe2 $DHA (#T008),,8D/Cp $DSK (#F101),8d/Sc2 $VRE $LTE (#F218),8d/Ma2 $MYO (#J211),8d/Sc2 $LTE (#F221),8D/Dr $COS (#T115),8D/Ac $AHR $KPA (#T118),,8d/En2 $KOC (#F102),8D/Re $JUP (#J217),8D/Hi $KBR $VRE (#F014),8d/Sc2 $LTE (#F218),8d/En2 $KOC (#J201),8D/Ge $SCL (#T031),,8d/Ma2 $MYO (#J211),8D/Ar $CBR (#T213)
8L/Mu $CMA (#T120),8d/Sp2 $PLA (#F016),8L/Hi $AOD (#F102),,8d/En3 $JNI (#J104),8d/Ma3 $JOK (#J212),,8d/Ma3 $JOK (#J212),8L/Ac $SEL $KPA (#N101),8L/Ar $CBR (#T027),8d/Te3 $BST (#T005),,8d/Sc3 ($JTH) $SC1 (#F111),8L/Re $VAD (#J207),8d/Sp2 $PLA (#F016),8d/En3 $JNI (#J104),8du/Pe3 $DGR (#T008),8du/Pe3 $DGR (#T008),,8L/Re $JUP (#J207),8d/Sc3 ($JTH) $SC1 (#F111),8d/Ma3 $JOK (#J212),8d/Sc3 ($JTH) $SC1 (#F111),8L/Cp $DSK (#F101),8L/Re $VAD (#J207),,8d/En3 $JNI (#J104),8L/Ge $MMO (#T028),8L/Hi $AOD (#F102),8d/Sc3 ($JTH) $SC1 (#F111),8d/En3 $JNI (#J104),8L/Dr $COS (#J005),,8d/Ma3 $JOK (#J212),8L/Ge $MMO (#T028)
